delta,t_hh1,t_th2,t_hh3,t_tt1,nk,bandwidth_low,gap_low_mid,flatness_ratio,chern_low,quantum_weight_low,trace_violation,trace_violation_abs,chern_mag_error,is_gapped,round_seed,stage,score
4.837688476909309,0.4522922304531534,-0.05048169176649438,0.059759050634659486,0.004486728309277765,11,0.03799918798335855,1.5580549855598211,0.024388861969274565,-0.9999999728820946,1.002523763898812,0.0025237910167174027,0.0025237910167174027,2.7117905365692252e-08,True,20260222,seed_stage2,0.00861568789199481
5.019592510066148,0.4648497671728399,-0.0573736015083234,0.04380673865475808,0.001032236322358493,11,0.03791505541531026,1.5430030728824666,0.024572248806012793,-1.0000000478091606,1.0026471019929588,0.002647054183798181,0.002647054183798181,4.780916063040763e-08,True,20260222,seed_stage1,0.008821157298210184
5.539534769263963,0.45803568823730384,-0.05860700145945457,0.04065944502053179,-0.1602461233188696,11,0.04244607912878795,1.5381038144666552,0.027596368157702236,-1.0000000000362295,1.0020800568338335,0.002080056797604035,0.002080056797604035,3.6229463873382883e-11,True,20260230,polish,0.008999507252241188
6.041869190199286,0.4105981998554999,-0.04201987316672456,0.05608955094890241,-0.17524425628510226,11,0.035636168658844225,1.416535444994132,0.02515727282700776,-0.9999999871367491,1.0026839505550655,0.0026839634183164485,0.0026839634183164485,1.2863250908878854e-08,True,20260230,polish,0.00903587250077488
5.11931644719284,0.5144592723973621,-0.10947040981202462,0.02046067400739624,0.019413946134228893,11,0.04189666790673652,1.6364509246371592,0.02560215358491488,-0.9999999906044875,1.0025905332696305,0.0025905426651430252,0.0025905426651430252,9.395512479137835e-09,True,20260230,polish,0.009049835353643666
5.185502519193941,0.47850994589332035,-0.039935313791454846,0.055416625650269245,-0.19999993752800435,11,0.03093515606277486,1.5867629873315352,0.019495763582687682,-1.0000000117775596,1.0040918657748705,0.004091853997310935,0.004091853997310935,1.177755959425042e-08,True,20260230,polish,0.009127321693136672
5.681373801802473,0.42406298927702557,-0.0561684481757021,0.05450278858533872,-0.10728592263888058,11,0.04719937392642959,1.4755494187987745,0.031987660545354,-1.0000000012182175,1.0011547347631564,0.0011547335449388907,0.0011547335449388907,1.2182175268549145e-09,True,20260221,seed_stage2,0.009133987876439691
4.755977332700148,0.47362580352241695,-0.051727003722915,0.05857988289303974,-0.014480120598076615,11,0.041436129704821134,1.5891769323254559,0.026073956185726468,-0.9999999775172889,1.0025512980345086,0.002551320517219735,0.002551320517219735,2.2482711137250533e-08,True,20260230,polish,0.009138675871125249
5.446471487986328,0.46146393542207453,-0.048844096733635364,0.05482433828745889,-0.19630502897728938,11,0.03818602257469572,1.5528256415380095,0.024591313765835326,-0.9999999963300965,1.0029398430979992,0.0029398467679027096,0.0029398467679027096,3.6699034922094143e-09,True,20260230,polish,0.00918674564870062
4.051159338025869,0.5237841035960134,-0.032851097659231845,0.0668194346448884,-0.10038735963650568,11,0.03616418919217024,1.755547019684665,0.020599954764336716,-1.0000000090700725,1.0039089441999456,0.0039089351298731145,0.0039089351298731145,9.070072470862556e-09,True,20260230,polish,0.009222395552099392
6.41583756158061,0.37937425034879463,-0.04845039186715508,0.051768510265766066,-0.024790454032303347,11,0.03562125639926883,1.301182627842805,0.027376062081557555,-0.9999999576541869,1.0023323847211656,0.0023324270669786706,0.0023324270669786706,4.2345813078270567e-08,True,20260221,seed_stage2,0.009247247582169918
5.222334888004737,0.4305033387846366,-0.041070804923830306,0.056219837539977474,-0.08227332498658496,11,0.04482683682658606,1.5117292587366868,0.02965268851384585,-0.9999999828684051,1.001922918596259,0.0019229357278539583,0.0019229357278539583,1.71315949204498e-08,True,20260222,seed_stage2,0.009403081787949163
