t2,phi,band_width,band_gap,width_gap_ratio,chern_number,quantum_weight,trace_condition,valid_gapped,chern_near_target
-2.77,1.9111355309337907,11.521397342726075,2.0,5.760698671363038,1.4155077873017603,7.521950143222356,6.106442355920596,1,0
-2.77,1.9373154697137056,11.32650745544747,2.0,5.663253727723735,1.4066386088657559,7.400439241984895,5.993800633119139,1,0
-2.77,1.9634954084936207,11.123171420173072,2.0,5.561585710086536,1.3971956212598358,7.271694254167679,5.8744986329078435,1,0
-2.77,1.9896753472735356,11.01328401055973,2.0,5.506642005279865,1.3871975266936034,7.136077123632848,5.748879596939245,1,0
-2.77,2.0158552860534504,11.540125905271815,2.0,5.770062952635907,1.3766646449941793,6.993969099350459,5.61730445435628,1,0
-2.77,2.0420352248333655,12.060429474228355,2.0,6.030214737114178,1.3656189907431096,6.845769638454656,5.480150647711547,1,0
-2.77,2.06821516361328,12.573838127352914,2.0,6.286919063676457,1.3540843592607974,6.691895247356501,5.337810888095704,1,0
-2.77,2.0943951023931953,13.079999999999995,2.0,6.539999999999997,1.3420864221809559,6.532778261401249,5.1906918392202925,1,0
-2.77,2.1205750411731104,13.578568194105426,2.0,6.789284097052713,1.3296528333748867,6.368865563118659,5.039212729743772,1,0
-2.77,2.146754979953025,14.069201015932993,2.0,7.034600507966497,1.3168133459768157,6.200617238532505,4.883803892555689,1,0
-2.77,2.17293491873294,14.551562210254291,2.0,7.2757811051271455,1.3035999412145851,6.028505170237609,4.724905229023024,1,0
-2.77,2.199114857512855,15.025321190801202,2.0,7.512660595400601,1.2900469696471417,5.853011564978551,4.562964595331409,1,0
-2.77,2.22529479629277,15.490153266833243,2.0,7.7450766334166214,1.2761913052274418,5.674627412224157,4.398436106996716,1,0
-2.77,2.251474735072685,15.945739865664395,2.0,7.9728699328321975,1.2620725123135017,5.4938508686653265,4.231778356351825,1,0
-2.77,2.2776546738526,16.391768750996867,2.0,8.195884375498434,1.2477330252962155,5.311185561597314,4.063452536301098,1,1
-2.77,2.3038346126325147,16.82793423691229,2.0,8.413967118456146,1.2332183398386998,5.127138801693857,3.893920461855157,1,1
-2.77,2.3300145514124297,17.253937397373583,2.0,8.626968698686792,1.2185772137450068,4.942219692637573,3.723642478892566,1,1
-2.77,2.356194490192345,17.66948627109389,2.0,8.834743135546946,1.2038618740838651,4.756937121323419,3.5530752472395535,1,1
-2.77,2.3823744289722595,18.07429606163229,2.0,9.037148030816144,1.1891282252351607,4.571797607776921,3.382669382541761,1,1
-2.77,2.4085543677521746,18.46808933257905,2.0,9.234044666289526,1.1744360498035564,4.387302988408094,3.2128669386045376,1,1
-2.77,2.4347343065320897,18.850596197696685,2.0,9.425298098848343,1.159849190592262,4.203947899668988,3.0440987090767253,1,1
-2.77,2.4609142453120043,19.22155450588647,2.0,9.610777252943235,1.1454356967105814,4.02221702159107,2.876781324880488,1,1
-2.77,2.4870941840919194,19.58071002085377,2.0,9.790355010426884,1.1312679099703427,3.8425820322132607,2.711314122242918,1,1
-2.77,2.5132741228718345,19.927816595348833,2.0,9.963908297674417,1.1174224584790946,3.665498215064698,2.5480757565856034,1,1
-2.77,2.539454061651749,20.262636339863864,2.0,10.131318169931932,1.1039801121433985,3.491400653730268,2.3874205415868697,1,1
-2.77,2.5656340004316642,20.584939785670596,2.0,10.292469892835298,1.0910254389924487,3.3206999422470096,2.229674503254561,1,1
-2.77,2.5918139392115793,20.894506042086682,2.0,10.447253021043341,1.0786461812375774,3.153777341604103,2.0751311603665257,1,1
-2.77,2.617993877991494,21.191122947863157,2.0,10.595561473931578,1.0669322455523156,2.990979327909425,1.9240470823571092,1,1
-2.77,2.644173816771409,21.47458721658915,2.0,10.737293608294575,1.0559741737953565,2.832611518720929,1.7766373449255723,1,1
-2.77,2.670353755551324,21.74470457601423,2.0,10.872352288007114,1.0458609306987368,2.6789320503276377,1.633071119628901,1,1
-2.77,2.696533694331239,22.001289901192905,2.0,11.000644950596453,1.036676819723999,2.5301446421849563,1.4934678224609572,1,1
-2.77,2.722713633111154,22.244167341360033,2.0,11.122083670680016,1.0284973292738837,2.38639187492298,1.3578945456490963,1,1
-2.77,2.748893571891069,22.473170440450115,2.0,11.236585220225058,1.0213837408238629,2.247749699925873,1.2263659591020102,1,1
-2.77,2.7750735106709836,22.68814225117799,2.0,11.344071125588995,1.0153764359365482,2.114224997448455,1.0988485615119068,1,1
-2.77,2.8012534494508987,22.888935442602673,2.0,11.444467721301336,1.0104870789480014,1.9857592453904604,0.9752721664424591,1,1
