sector_kx,sector_ky,kvec_x,kvec_y,eig_index,energy,sector_dimension,solver
2,4,2.4183991523122907,9.773843811168245,3,-13.64594236704804,173583,sparse
2,4,2.4183991523122907,9.773843811168245,4,-13.644623498159559,173583,sparse
2,4,2.4183991523122907,9.773843811168245,5,-13.644248475219698,173583,sparse
2,4,2.4183991523122907,9.773843811168245,6,-13.644168512211657,173583,sparse
2,4,2.4183991523122907,9.773843811168245,7,-13.642647533892372,173583,sparse
2,4,2.4183991523122907,9.773843811168245,8,-13.64212216939873,173583,sparse
2,4,2.4183991523122907,9.773843811168245,9,-13.640245659790082,173583,sparse
2,5,2.4183991523122903,11.170107212763709,0,-13.647182696990235,173583,sparse
2,5,2.4183991523122903,11.170107212763709,1,-13.646959888412553,173583,sparse
2,5,2.4183991523122903,11.170107212763709,2,-13.646581236128865,173583,sparse
2,5,2.4183991523122903,11.170107212763709,3,-13.645013002306525,173583,sparse
2,5,2.4183991523122903,11.170107212763709,4,-13.644751426004854,173583,sparse
2,5,2.4183991523122903,11.170107212763709,5,-13.64463477354697,173583,sparse
2,5,2.4183991523122903,11.170107212763709,6,-13.642686928867061,173583,sparse
2,5,2.4183991523122903,11.170107212763709,7,-13.642177693172073,173583,sparse
2,5,2.4183991523122903,11.170107212763709,8,-13.641564323511048,173583,sparse
2,5,2.4183991523122903,11.170107212763709,9,-13.640049072733184,173583,sparse
2,6,2.4183991523122903,12.566370614359172,0,-13.647175955909473,173583,sparse
2,6,2.4183991523122903,12.566370614359172,1,-13.646557397422663,173583,sparse
2,6,2.4183991523122903,12.566370614359172,2,-13.646340538565322,173583,sparse
2,6,2.4183991523122903,12.566370614359172,3,-13.645202154045563,173583,sparse
2,6,2.4183991523122903,12.566370614359172,4,-13.64467777631626,173583,sparse
2,6,2.4183991523122903,12.566370614359172,5,-13.644388461390834,173583,sparse
2,6,2.4183991523122903,12.566370614359172,6,-13.640928455255438,173583,sparse
2,6,2.4183991523122903,12.566370614359172,7,-13.640600416671086,173583,sparse
2,6,2.4183991523122903,12.566370614359172,8,-13.64024575328764,173583,sparse
2,6,2.4183991523122903,12.566370614359172,9,-13.63984250907021,173583,sparse
2,7,2.4183991523122907,13.962634015954636,0,-13.647178963058657,173583,sparse
2,7,2.4183991523122907,13.962634015954636,1,-13.646959410280331,173583,sparse
2,7,2.4183991523122907,13.962634015954636,2,-13.646568322849095,173583,sparse
2,7,2.4183991523122907,13.962634015954636,3,-13.645037127424715,173583,sparse
2,7,2.4183991523122907,13.962634015954636,4,-13.644772951301018,173583,sparse
2,7,2.4183991523122907,13.962634015954636,5,-13.644652833962159,173583,sparse
2,7,2.4183991523122907,13.962634015954636,6,-13.642719026479567,173583,sparse
2,7,2.4183991523122907,13.962634015954636,7,-13.64219766820039,173583,sparse
2,7,2.4183991523122907,13.962634015954636,8,-13.641600256004907,173583,sparse
2,7,2.4183991523122907,13.962634015954636,9,-13.640059785425787,173583,sparse
2,8,2.4183991523122894,15.3588974175501,0,-13.64819976125271,173583,sparse
2,8,2.4183991523122894,15.3588974175501,1,-13.647570877581167,173583,sparse
2,8,2.4183991523122894,15.3588974175501,2,-13.647532095372007,173583,sparse
2,8,2.4183991523122894,15.3588974175501,3,-13.645961887207365,173583,sparse
2,8,2.4183991523122894,15.3588974175501,4,-13.644655868765089,173583,sparse
2,8,2.4183991523122894,15.3588974175501,5,-13.644268615605862,173583,sparse
2,8,2.4183991523122894,15.3588974175501,6,-13.644180847923394,173583,sparse
2,8,2.4183991523122894,15.3588974175501,7,-13.642661586400829,173583,sparse
2,8,2.4183991523122894,15.3588974175501,8,-13.642142830837772,173583,sparse
2,8,2.4183991523122894,15.3588974175501,9,-13.640254687848905,173583,sparse
